"ID","Title","Created By","Created On","Estimate","Forecast","Priority","References","Section","Section Depth","Section Description","Suite","Suite ID","Type","Updated By","Updated On"
"C1","Поле для ввода номера телефона пользователя","Наталия Рудич","7/10/2023 5:20 PM","60s","","Medium","","zezman rud","0","","Master","S1","Other","Наталия Рудич","7/10/2023 5:20 PM"
"C2","Поле для ввода имени пользователя","Наталия Рудич","7/10/2023 5:22 PM","60s","","Medium","","zezman rud","0","","Master","S1","Other","Наталия Рудич","7/10/2023 5:22 PM"
"C3","Поле для ввода электронного адреса","Наталия Рудич","7/10/2023 5:24 PM","60s","","Medium","","zezman rud","0","","Master","S1","Other","Наталия Рудич","7/10/2023 5:24 PM"
"C4","Кнопка """"Відправити"""" при заполненных полях заявки","Наталия Рудич","7/10/2023 5:28 PM","60s","","Medium","","zezman rud","0","","Master","S1","Other","Наталия Рудич","7/10/2023 5:28 PM"
"C5","Кнопка """"Відправити"""" при не корректно заполненных полях заявки","Наталия Рудич","7/10/2023 5:28 PM","60s","","Medium","","zezman rud","0","","Master","S1","Other","Наталия Рудич","7/10/2023 5:29 PM"
"C6","Окно выпадающего списка """"Тематика звернення""""","Наталия Рудич","7/10/2023 5:30 PM","60s","","Medium","","zezman rud","0","","Master","S1","Other","Наталия Рудич","7/10/2023 5:32 PM"
"C7","Цвет текста кнопки с выпадающим списком  """"Тематика звернення""""","Наталия Рудич","7/10/2023 5:35 PM","60s","","Medium","","zezman rud","0","","Master","S1","Other","Наталия Рудич","7/10/2023 5:52 PM"
"C8","Цвет кнопки с выпадающим списком  """"Тематика звернення""""","Наталия Рудич","7/10/2023 5:42 PM","60s","","Medium","","zezman rud","0","","Master","S1","Other","Наталия Рудич","7/10/2023 5:42 PM"
"C9","Цвет текста """"Зв'язатися з нами""""","Наталия Рудич","7/10/2023 5:45 PM","60s","","Medium","","zezman rud","0","","Master","S1","Other","Наталия Рудич","7/10/2023 5:46 PM"
"C10","Размер текста """"Зв'язатися з нами""""","Наталия Рудич","7/10/2023 5:52 PM","60s","","Medium","","zezman rud","0","","Master","S1","Other","Наталия Рудич","7/10/2023 5:55 PM"
"C11","Локализация текста """"Зв'язатися з нами""""","Наталия Рудич","7/10/2023 5:56 PM","60s","","Medium","","zezman rud","0","","Master","S1","Other","Наталия Рудич","7/10/2023 5:56 PM"
"C12","Локализация  текста кнопки  """"Тематика звернення""""","Наталия Рудич","7/10/2023 5:58 PM","60s","","Medium","","zezman rud","0","","Master","S1","Other","Наталия Рудич","7/10/2023 6:00 PM"
